startYear,runtimeMinutes,numVotes,averageRating
1946.0,91.0,1130,7.0
1946.0,85.0,2245,7.2
1946.0,75.0,3444,6.3
1946.0,104.0,18221,8.1
1946.0,97.0,20550,7.8
1946.0,94.0,1229,7.0
1946.0,85.0,1880,7.4
1946.0,128.0,2577,6.2
1946.0,85.0,5725,7.0
1946.0,100.0,1235,7.0
1946.0,87.0,1229,6.5
1946.0,102.0,88571,7.9
1946.0,126.0,6842,7.7
1946.0,99.0,1262,8.0
1946.0,113.0,17579,7.5
1946.0,145.0,5126,7.4
1945.0,103.0,21953,8.1
1946.0,87.0,6082,8.0
1945.0,94.0,1450,6.8
1946.0,61.0,2134,5.2
1946.0,70.0,2148,6.3
1946.0,71.0,1004,6.3
1946.0,110.0,2345,7.1
1946.0,94.0,10684,7.1
1946.0,83.0,8547,7.4
1946.0,109.0,2956,7.3
1946.0,116.0,7869,7.4
1946.0,100.0,1601,6.7
1946.0,95.0,21964,7.4
1946.0,72.0,2130,6.3
1946.0,60.0,5126,6.9
1946.0,92.0,1543,7.0
1946.0,132.0,2018,6.4
1946.0,105.0,1018,6.8
1946.0,82.0,2862,7.7
1946.0,122.0,2155,7.7
1946.0,104.0,2182,7.4
1946.0,116.0,2569,6.6
1946.0,106.0,1078,7.1
1946.0,86.0,1735,7.2
1946.0,110.0,2719,7.1
1946.0,107.0,1424,6.5
1946.0,128.0,5122,7.2
1945.0,110.0,2771,6.5
1947.0,100.0,4988,6.9
1947.0,95.0,7485,7.3
1947.0,109.0,13444,7.6
1947.0,101.0,20410,7.8
1947.0,104.0,4123,7.6
1947.0,88.0,3882,7.2
1947.0,92.0,4300,7.2
1948.0,92.0,4990,7.4
1947.0,98.0,8385,7.6
1947.0,77.0,1838,6.9
1947.0,140.0,1726,6.9
1947.0,92.0,1102,6.2
1947.0,86.0,6941,7.3
1947.0,83.0,1229,6.6
1947.0,99.0,2001,6.8
1947.0,106.0,16855,7.5
1947.0,100.0,6323,7.1
1947.0,96.0,1203,6.7
1947.0,73.0,1871,6.8
1947.0,65.0,1457,6.2
1947.0,104.0,2869,7.0
1947.0,101.0,1020,6.2
1947.0,108.0,2204,7.1
1947.0,97.0,2201,7.2
1947.0,72.0,1267,6.4
1947.0,138.0,1149,6.6
1947.0,82.0,1237,7.0
1947.0,104.0,1989,6.3
1947.0,73.0,6470,6.6
1947.0,118.0,14140,7.2
1948.0,78.0,9544,7.9
1947.0,104.0,14890,7.9
1947.0,93.0,2321,6.8
1947.0,141.0,1270,6.8
1947.0,99.0,1376,7.0
1947.0,115.0,1323,6.7
1947.0,82.0,1297,6.8
1947.0,97.0,2183,7.0
1947.0,116.0,3260,7.7
1947.0,96.0,1340,6.9
1947.0,99.0,6883,7.4
1946.0,105.0,4789,6.6
1947.0,118.0,4417,7.2
1947.0,101.0,1340,6.6
1947.0,102.0,2845,7.0
1947.0,103.0,1377,6.5
1947.0,96.0,38671,7.9
